Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,150.00,152.30,149.20,150.10,150.10,90000
2023-01-03,150.10,153.20,149.50,152.40,152.40,110000
2023-01-04,152.50,155.50,152.10,154.00,154.00,120000
2023-01-05,154.00,156.20,153.80,155.30,155.30,115000
2023-01-06,155.40,157.50,154.20,156.10,156.10,105000
2023-01-09,156.20,158.20,155.50,157.40,157.40,100000
2023-01-10,157.50,159.70,156.30,158.20,158.20,110500
2023-01-11,158.40,160.00,157.25,159.50,159.50,98000
2023-01-12,159.60,161.50,158.40,160.30,160.30,112000
2023-01-13,160.50,162.20,159.20,161.20,161.20,120500
2023-01-16,161.30,163.00,160.50,162.50,162.50,125000
2023-01-17,162.60,164.50,161.00,163.40,163.40,130000
2023-01-18,163.50,165.00,162.00,164.00,164.00,135000
2023-01-19,164.10,166.20,163.10,165.20,165.20,138500
2023-01-20,165.30,167.00,164.30,166.00,166.00,142000
2023-01-23,166.20,168.20,165.20,167.50,167.50,115000
2023-01-24,167.60,169.00,166.10,167.90,167.90,119000
2023-01-25,168.00,170.00,167.00,168.50,168.50,123500
2023-01-26,168.60,171.00,168.00,169.80,169.80,128000
2023-01-27,170.00,172.00,169.00,171.00,171.00,132500
2023-01-30,171.20,173.20,170.20,172.00,172.00,137000
2023-01-31,172.10,174.10,171.10,173.50,173.50,141500
2023-02-01,173.60,175.50,172.60,174.30,174.30,146000
2023-02-02,174.40,176.30,173.40,175.10,175.10,150500
2023-02-03,175.20,177.20,174.20,176.00,176.00,155000
2023-02-06,176.10,178.10,175.10,177.20,177.20,160000
2023-02-07,177.30,179.30,176.30,178.10,178.10,165000
2023-02-08,178.20,180.20,177.20,179.00,179.00,170000
2023-02-09,179.10,181.10,178.10,180.20,180.20,175500
2023-02-10,180.30,182.30,179.30,181.00,181.00,180000
